true_dept,true_priority,top1_dept,recall_at_1,recall_at_4,mrr,top_ce_score,rag_gap,prio_section,prio_ce_score,prio_correct
General Inquiry,low,General Inquiry,1,1,1.0,0.5002179786250202,2.1913157857600396e-05,low,0.5159288293843384,1
General Inquiry,high,General Inquiry,1,1,1.0,0.5214215901238088,0.02106281670265253,high,0.5013614712627759,1
General Inquiry,high,General Inquiry,1,1,1.0,0.5009894133436779,0.0004668272497611037,high,0.5009390022043788,1
General Inquiry,medium,General Inquiry,1,1,1.0,0.5922247223404151,0.08184117710657612,low,0.5005223126346243,0
General Inquiry,medium,Service Outages and Maintenance,0,1,0.25,0.5003072947924551,6.727750017476719e-05,high,0.5005284172145307,0
General Inquiry,high,General Inquiry,1,1,1.0,0.5766404371753666,0.05949833382245562,high,0.5019986218030613,1
General Inquiry,high,Technical & IT Support,0,1,0.5,0.5014800797059159,0.0005204665923537188,high,0.5001777558134254,1
General Inquiry,low,Customer Service,0,1,0.5,0.5361786184109085,0.034392615085043876,high,0.5002642507360622,0
General Inquiry,low,General Inquiry,1,1,1.0,0.5011107502859499,0.0005603908460619644,low,0.5001548003152146,1
General Inquiry,low,Sales and Pre-Sales,0,0,0.0,0.5020873970152631,0.0018281387198052501,medium,0.5001501023898909,0
General Inquiry,low,General Inquiry,1,1,1.0,0.5104295875634651,0.006170699346529918,low,0.5002016801626941,1
General Inquiry,high,General Inquiry,1,1,1.0,0.5042865380962301,0.003279227365162618,high,0.5002908595742397,1
General Inquiry,medium,Sales and Pre-Sales,0,1,0.25,0.5023641968901482,0.0015922894720836744,low,0.5007900338215252,0
General Inquiry,medium,Sales and Pre-Sales,0,0,0.0,0.5004390430439634,0.0001851005326346522,high,0.5001772739268134,0
General Inquiry,low,General Inquiry,1,1,1.0,0.5044458691830928,0.0002150406240921665,low,0.5005519953060023,1
General Inquiry,high,General Inquiry,1,1,1.0,0.5938578200949287,0.025259355400626626,high,0.5159544351883548,1
Human Resources,medium,Human Resources,1,1,1.0,0.7254549757698037,0.009604564635306012,low,0.7291552254100309,0
Human Resources,low,Human Resources,1,1,1.0,0.5433298850656785,0.016580268320802505,low,0.6098467861681833,1
Human Resources,high,Human Resources,1,1,1.0,0.7175499538964052,0.012353785682289065,low,0.6290281641570861,0
Human Resources,low,Human Resources,1,1,1.0,0.5070092356183578,0.0018482857862315294,low,0.6309219583512798,1
Human Resources,medium,Human Resources,1,1,1.0,0.5080498765040941,0.00671620490181557,high,0.5015932150047167,0
Human Resources,medium,Human Resources,1,1,1.0,0.5022315432693648,8.878710264192957e-05,low,0.5007504301797409,0
Human Resources,medium,Human Resources,1,1,1.0,0.5050378124611592,0.002843911348869854,low,0.5018793671593441,0
Human Resources,high,Human Resources,1,1,1.0,0.6631798714705525,0.07454151028263212,high,0.5845626791708504,1
Human Resources,low,Human Resources,1,1,1.0,0.5034259184560727,0.002413034597048447,low,0.505326431840506,1
Human Resources,high,Human Resources,1,1,1.0,0.5108691297014686,0.00461344203381131,high,0.5115388666988048,1
Human Resources,high,Human Resources,1,1,1.0,0.546412594910179,0.03306903330594313,low,0.5991759336138395,0
Human Resources,medium,Human Resources,1,1,1.0,0.5031321321227322,0.0010853801238872585,low,0.5035113273356343,0
Human Resources,medium,Human Resources,1,1,1.0,0.5553384470491052,0.04889774240214961,low,0.5109298128387447,0
Human Resources,high,Human Resources,1,1,1.0,0.5215085863852537,0.005232776775698,low,0.5027764249675833,0
Human Resources,high,Human Resources,1,1,1.0,0.5021577411026373,0.0013100499537191945,high,0.5008525259214652,1
Human Resources,low,Human Resources,1,1,1.0,0.5119260007093159,2.1478995009371893e-05,low,0.5012655766661698,1
Human Resources,low,Human Resources,1,1,1.0,0.5223969520903612,0.019701140456254596,low,0.5017273923109365,1
Human Resources,low,Human Resources,1,1,1.0,0.5008125186846951,0.00024307414088120538,low,0.5020252129603159,1
Human Resources,low,Human Resources,1,1,1.0,0.5024717365207231,6.957699094478631e-05,low,0.5109599601992375,1
Human Resources,high,Human Resources,1,1,1.0,0.5019610865993969,0.0006818508955601654,high,0.5014970401038258,1
Human Resources,medium,Human Resources,1,1,1.0,0.503909388052028,0.0031892916232221236,low,0.5005229348156321,0
Human Resources,medium,Human Resources,1,1,1.0,0.5034731505604949,0.002737756375902567,low,0.5013379069942876,0
Human Resources,low,Human Resources,1,1,1.0,0.5001973498481056,8.517523274464978e-05,low,0.5042341908582082,1
Human Resources,high,Human Resources,1,1,1.0,0.5099087253784448,0.0013196674770221684,low,0.5171283675949135,0
Returns and Exchanges,medium,Service Outages and Maintenance,0,1,0.5,0.5006221935317495,0.0001390966973974228,medium,0.5006508704789443,1
Returns and Exchanges,low,Returns and Exchanges,1,1,1.0,0.5516852604761532,0.04414843522139489,high,0.5060156041908104,0
Returns and Exchanges,high,Returns and Exchanges,1,1,1.0,0.7030526194768887,0.19781835500752676,high,0.5149851040398197,1
Returns and Exchanges,low,Returns and Exchanges,1,1,1.0,0.5037697174611917,0.0006827469157388855,high,0.5004729826804374,0
Returns and Exchanges,medium,Returns and Exchanges,1,1,1.0,0.5061268673268271,0.0027838248660082554,low,0.5016952742819879,0
Returns and Exchanges,medium,Customer Service,0,1,0.5,0.5033950251297021,0.0006767853442976035,medium,0.5040219997524032,1
Returns and Exchanges,medium,Returns and Exchanges,1,1,1.0,0.5006717256652887,0.00046528023136438446,high,0.5000476757812441,0
Returns and Exchanges,high,Returns and Exchanges,1,1,1.0,0.5030419846984322,0.0007361054902653708,high,0.502054043899147,1
Returns and Exchanges,low,Technical & IT Support,0,1,0.5,0.501177504344498,0.0008575240995577493,medium,0.501076453564902,0
Returns and Exchanges,high,Returns and Exchanges,1,1,1.0,0.5036403217192932,0.0011965863650063024,high,0.5001110012872186,1
Returns and Exchanges,high,Returns and Exchanges,1,1,1.0,0.5160359336933807,0.0016239726856750458,high,0.5088822846784259,1
Returns and Exchanges,medium,Returns and Exchanges,1,1,1.0,0.5035696976121833,0.0015671068086831053,medium,0.5006896218685065,1
Returns and Exchanges,medium,Returns and Exchanges,1,1,1.0,0.7168101927956153,0.1609353825587292,medium,0.5041171862545976,1
Returns and Exchanges,high,Returns and Exchanges,1,1,1.0,0.5142065511006988,0.009128253534125164,high,0.5008739525632383,1
Returns and Exchanges,high,Returns and Exchanges,1,1,1.0,0.5018200071006979,0.0011254890459663214,high,0.5032168446030284,1
Returns and Exchanges,low,Returns and Exchanges,1,1,1.0,0.5066157229361551,0.0015153879042753005,high,0.500384645635286,0
Returns and Exchanges,low,Returns and Exchanges,1,1,1.0,0.5033361984765574,0.0002687677355710516,medium,0.500204732266338,0
Returns and Exchanges,low,Sales and Pre-Sales,0,0,0.0,0.5135541478752811,0.01138091334808411,high,0.5002472162976576,0
Returns and Exchanges,low,Returns and Exchanges,1,1,1.0,0.5185429458297693,0.01747137283830036,high,0.5032627771336095,0
Returns and Exchanges,high,Service Outages and Maintenance,0,1,0.5,0.5010253742398416,0.0003070768314894501,high,0.5003206531252243,1
Returns and Exchanges,medium,Returns and Exchanges,1,1,1.0,0.5008487919108257,0.00034468696259648546,medium,0.5015478660963951,1
Returns and Exchanges,medium,Returns and Exchanges,1,1,1.0,0.507016549718049,0.0027434342562300262,high,0.5021505151049057,0
Returns and Exchanges,low,Returns and Exchanges,1,1,1.0,0.5010326388744005,0.0006609582605702213,high,0.5001805492423698,0
Returns and Exchanges,high,Returns and Exchanges,1,1,1.0,0.5028288174339504,0.0016826315522905366,high,0.5028705472459674,1
Sales and Pre-Sales,medium,Customer Service,0,1,0.5,0.5353039165192759,0.017012640927568157,low,0.5001267593443246,0
Sales and Pre-Sales,low,Sales and Pre-Sales,1,1,1.0,0.5038990982635027,0.002520807790527657,low,0.5219216761631343,1
Sales and Pre-Sales,high,Sales and Pre-Sales,1,1,1.0,0.5009909742341913,0.00024754653684677663,medium,0.5003635857370112,0
Sales and Pre-Sales,low,General Inquiry,0,1,0.5,0.5034391486666703,0.0029160978432968276,high,0.5012745436148914,0
Sales and Pre-Sales,medium,Sales and Pre-Sales,1,1,1.0,0.7273168434716254,0.19730295098419415,high,0.500412531860163,0
Sales and Pre-Sales,medium,Sales and Pre-Sales,1,1,1.0,0.5002492809519851,7.57349489080017e-05,high,0.5000731202739434,0
Sales and Pre-Sales,medium,General Inquiry,0,1,0.5,0.5012874679590853,0.000879230977393286,high,0.5006754192257089,0
Sales and Pre-Sales,high,Technical & IT Support,0,1,0.5,0.5008582100575409,0.00016920868152048296,high,0.5000972357799148,1
Sales and Pre-Sales,low,Sales and Pre-Sales,1,1,1.0,0.5085750502812422,0.0030823293089125015,low,0.5078473696944519,1
Sales and Pre-Sales,high,Sales and Pre-Sales,1,1,1.0,0.5205743431583678,0.02020378048025706,high,0.5007551405658153,1
Sales and Pre-Sales,high,Sales and Pre-Sales,1,1,1.0,0.5130908051118241,0.012936450609041916,high,0.5001965295567714,1
Sales and Pre-Sales,medium,Sales and Pre-Sales,1,1,1.0,0.5037916316253608,0.0029198142872401966,low,0.5002585756361937,0
Sales and Pre-Sales,medium,Sales and Pre-Sales,1,1,1.0,0.5243386028823249,0.01145032329982032,high,0.500028288193759,0
Sales and Pre-Sales,high,Sales and Pre-Sales,1,1,1.0,0.5003761681309387,0.0003464149594987198,medium,0.5005461991687419,0
Sales and Pre-Sales,high,General Inquiry,0,1,0.25,0.5003690185170229,6.650588958712067e-05,high,0.500175553308571,1
Sales and Pre-Sales,low,Sales and Pre-Sales,1,1,1.0,0.5007043583897984,0.00011535598175149708,high,0.5000752867630348,0
Sales and Pre-Sales,low,Sales and Pre-Sales,1,1,1.0,0.50307753963297,0.0023065982269465657,high,0.5007358408110079,0
Sales and Pre-Sales,low,Customer Service,0,1,0.5,0.5026033336668216,0.0018420164092728397,low,0.5005311564057702,1
Sales and Pre-Sales,low,Human Resources,0,1,0.3333333333333333,0.5120425408932936,0.0075302728082273784,medium,0.5006576318110516,0
Sales and Pre-Sales,high,Sales and Pre-Sales,1,1,1.0,0.5765560169758162,0.07615459744552411,high,0.5158047923559971,1
Sales and Pre-Sales,medium,Sales and Pre-Sales,1,1,1.0,0.6324821934096341,0.1043509490647162,medium,0.5003099377102919,1
Sales and Pre-Sales,medium,Sales and Pre-Sales,1,1,1.0,0.5021969124857761,0.001234502911891311,medium,0.5013152779940844,1
Sales and Pre-Sales,low,Sales and Pre-Sales,1,1,1.0,0.501103521511984,1.5387470495453748e-05,low,0.5007591798771815,1
Sales and Pre-Sales,high,Sales and Pre-Sales,1,1,1.0,0.7015661027016478,0.15336943246310275,high,0.5282402360256327,1
Service Outages and Maintenance,medium,Service Outages and Maintenance,1,1,1.0,0.5088897226644871,0.004695153972723576,medium,0.5080785547088108,1
Service Outages and Maintenance,low,Service Outages and Maintenance,1,1,1.0,0.5177878385692714,0.005355300777466487,low,0.5084541708051832,1
Service Outages and Maintenance,high,Service Outages and Maintenance,1,1,1.0,0.6643979491602066,0.09422062793454233,high,0.6743354437547084,1
Service Outages and Maintenance,low,Service Outages and Maintenance,1,1,1.0,0.5068276797151632,0.003275724760752996,medium,0.5063427646122233,0
Service Outages and Maintenance,medium,Service Outages and Maintenance,1,1,1.0,0.7251027635939274,0.03478071999598009,medium,0.6211947336827827,1
Service Outages and Maintenance,medium,Service Outages and Maintenance,1,1,1.0,0.5041209490080766,0.0025209894340454397,high,0.5068262788015715,0
Service Outages and Maintenance,medium,Technical & IT Support,0,1,0.5,0.5040506993810671,0.0008759099575191831,medium,0.5242905803764621,1
Service Outages and Maintenance,high,Service Outages and Maintenance,1,1,1.0,0.7259268631970563,0.024588598575568943,high,0.6971398655299648,1
Service Outages and Maintenance,low,Service Outages and Maintenance,1,1,1.0,0.5026939036424088,0.0005005042704987472,medium,0.5003485225042252,0
Service Outages and Maintenance,high,Service Outages and Maintenance,1,1,1.0,0.5829508796480052,0.07538956479632586,high,0.615157473156919,1
Service Outages and Maintenance,high,Customer Service,0,1,0.5,0.6122190964610562,0.05341177692122401,high,0.5441797631018712,1
Service Outages and Maintenance,medium,Technical & IT Support,0,1,0.25,0.5068112905558323,0.003330917937985456,medium,0.5030552758072493,1
Service Outages and Maintenance,medium,Technical & IT Support,0,1,0.25,0.5039215941484368,0.0008562185262434019,medium,0.5018530466038362,1
Service Outages and Maintenance,high,Service Outages and Maintenance,1,1,1.0,0.5116335723019282,0.00997644852193691,high,0.5077236478841185,1
Service Outages and Maintenance,high,Technical & IT Support,0,1,0.3333333333333333,0.5055813533839695,0.0030948732252032984,high,0.5069504266097308,1
Service Outages and Maintenance,low,Service Outages and Maintenance,1,1,1.0,0.5056691236165846,0.0033002911721673467,medium,0.5101046921171742,0
Service Outages and Maintenance,low,Service Outages and Maintenance,1,1,1.0,0.5171869643849379,0.010332232486026327,high,0.5001799996748107,0
Service Outages and Maintenance,low,Service Outages and Maintenance,1,1,1.0,0.5098081835048783,0.004013628155368987,high,0.5106572989386903,0
Service Outages and Maintenance,low,Sales and Pre-Sales,0,1,0.5,0.5008106493505899,1.1926253169258771e-05,high,0.5009796072534782,0
Service Outages and Maintenance,high,Service Outages and Maintenance,1,1,1.0,0.5207032751922793,0.011790634356923846,high,0.6205547769576758,1
Service Outages and Maintenance,medium,Service Outages and Maintenance,1,1,1.0,0.5333794397729215,0.029232770790494134,medium,0.6265720443896946,1
Service Outages and Maintenance,medium,Customer Service,0,1,0.5,0.5092118732976082,0.00746214686079838,high,0.5051087640195551,0
Service Outages and Maintenance,low,Service Outages and Maintenance,1,1,1.0,0.5071885461151119,0.00348314987994669,medium,0.5083082661159158,0
Service Outages and Maintenance,high,Customer Service,0,1,0.25,0.5033936107487275,0.001627579267070467,high,0.5037319679594698,1
Technical & IT Support,medium,Human Resources,0,1,0.5,0.5189054625267369,0.005560579386410636,medium,0.6757643267635383,1
Technical & IT Support,low,General Inquiry,0,0,0.0,0.5116268731998588,0.000996767727807879,low,0.7068578654013712,1
Technical & IT Support,high,Technical & IT Support,1,1,1.0,0.5022390328158203,0.0008374442081200417,high,0.5048877059688368,1
Technical & IT Support,low,General Inquiry,0,1,0.5,0.5693646353293533,0.05259317575875422,low,0.5059910962455697,1
Technical & IT Support,medium,Service Outages and Maintenance,0,1,0.25,0.5015779950186046,0.0008454510824023043,medium,0.500811391030654,1
Technical & IT Support,medium,Technical & IT Support,1,1,1.0,0.516760891642303,0.01130149358510546,medium,0.5029129463833795,1
Technical & IT Support,medium,Technical & IT Support,1,1,1.0,0.5023373262667099,0.0012866576475959457,high,0.5001115698450703,0
Technical & IT Support,high,Service Outages and Maintenance,0,1,0.5,0.5540168483226292,0.03298629997955893,medium,0.5090473038808567,0
Technical & IT Support,low,General Inquiry,0,0,0.0,0.5002599590864024,4.9097205183090686e-05,medium,0.5000469693658016,0
Technical & IT Support,high,Service Outages and Maintenance,0,1,0.25,0.5117568771041556,0.007065438201840024,high,0.5015237292369596,1
Technical & IT Support,high,Technical & IT Support,1,1,1.0,0.5081500390990701,0.004988029934831495,high,0.5171061276306406,1
Technical & IT Support,medium,General Inquiry,0,0,0.0,0.5039031210992909,0.0028095669026322323,high,0.5001454466359876,0
Technical & IT Support,medium,Customer Service,0,0,0.0,0.5002263488704548,7.184262031501021e-05,high,0.5000222099169913,0
Technical & IT Support,high,Service Outages and Maintenance,0,1,0.5,0.5955540628559166,0.05006287763482886,high,0.6069940555719949,1
Technical & IT Support,high,Customer Service,0,1,0.25,0.500747952285179,6.334720907708036e-05,high,0.5036991401859598,1
Technical & IT Support,low,Service Outages and Maintenance,0,1,0.3333333333333333,0.5009687217637172,0.0004689255168294215,high,0.5001573464926778,0
Technical & IT Support,low,Technical & IT Support,1,1,1.0,0.516260442308452,0.010658471555891835,low,0.5665756584292436,1
Technical & IT Support,low,Returns and Exchanges,0,1,0.5,0.5148060170565805,0.008641331640554584,medium,0.5779184936181035,0
Technical & IT Support,low,Sales and Pre-Sales,0,1,0.5,0.5006582432814707,0.00028906358752256445,high,0.5002211927641242,0
Technical & IT Support,high,Technical & IT Support,1,1,1.0,0.5008576291467953,0.00017640854882350343,high,0.5011252418255874,1
Technical & IT Support,medium,Technical & IT Support,1,1,1.0,0.518518775863539,0.008495797467634847,medium,0.5060899733680657,1
Technical & IT Support,medium,Returns and Exchanges,0,0,0.0,0.500198399928696,7.04542510276962e-06,medium,0.5039168670455061,1
Technical & IT Support,low,Technical & IT Support,1,1,1.0,0.5024094125020702,0.0020684693883923355,low,0.5002266100918314,1
Technical & IT Support,high,Technical & IT Support,1,1,1.0,0.5036957233502901,0.0011481383377199839,high,0.5729156495904851,1
